symbol,first_close,last_close,total_log_return,close_min,close_max,price_range_ratio,logret_mean,logret_std,logret_abs_mean,logret_zero_frac,volume_sum,volume_nonzero_frac,volume_max
EQIX,228.28,959.9,1.4362561667009837,214.7201,989.78,3.395215962852637,5.0377276980029436e-05,0.005330274474018759,0.0027502013071871016,0.31532795510347245,2117673380.0,0.9992283409330059,2701968.0
ACN,89.5999,191.71,0.7606296096231246,84.02,416.63,3.712169321617546,2.6679397040424437e-05,0.005042049767592992,0.002384925652747788,0.31858996843212906,9242388004.0,1.0,3768380.0
NLY,43.42,22.9101,-0.6393423030881132,14.55,50.74,0.833486872409028,-2.242519477678264e-05,0.0059654838075152705,0.002400720587468006,0.35811995790950546,16352018622.0,1.0,7842923.0
AFL,30.605,112.01,1.297424758720615,23.68,118.5,3.098186570821761,4.550770812761224e-05,0.004710129140687166,0.0022062562357618412,0.32392143107681515,12493913970.0,0.9998947737635917,5929952.0
USB,44.84,56.045,0.22305434126909937,27.67,63.54,0.7999553969669937,7.823722948742474e-06,0.005688510636436568,0.0027129897882411107,0.3237811294282708,30376020007.0,1.0,18633516.0
TMO,127.71,517.51,1.3992667801161514,117.75,671.715,4.337679116748885,4.907985900089534e-05,0.005112164496488699,0.002545876229570713,0.31683619782532446,6284445100.0,1.0,3008361.0
TRI,46.1581,99.86,0.7716967448982732,38.8477,218.04,3.8821420292429716,2.706758137134692e-05,0.004356143459433941,0.0020512730806661363,0.3265871623991582,2999637856.0,0.9994037179936864,10129433.0
CP,38.096,85.64,0.8100431739769751,19.674,91.43,1.883557328853423,2.841259817521985e-05,0.005178730580394973,0.002620261253161733,0.32069449316029464,12957977181.0,0.999614170466503,9681329.0
GILD,95.12,146.95,0.43495314048239975,56.605,156.87,1.0540895710681246,1.5256160662294803e-05,0.005286915628525324,0.0026237405616283877,0.32069449316029464,31016005415.0,0.9997193967029112,36142820.0
WY,36.08,24.4,-0.39115556289526676,13.22,42.865,0.8216463414634148,-1.3719942577829951e-05,0.005799889668579328,0.00283650689691799,0.3289372150122764,16776672612.0,0.9999298491757278,7331736.0
ZTS,43.6,128.84,1.0835141741080094,38.41,247.29,4.790825688073395,3.800470621208244e-05,0.005248467657748525,0.0025802659514290497,0.3222378112942827,10214523108.0,0.9997544721150473,9886940.0
NSC,108.72,311.11,1.0513707775492387,65.13,318.27,2.3283664459161146,3.6877263330362804e-05,0.005411222430833999,0.002685770792240111,0.3179936864258155,6208119879.0,0.9990178884601895,3465482.0
XYL,37.83,128.58,1.2234488400686028,30.46,153.72,3.2582606397039386,4.29129722927638e-05,0.005292050388938905,0.002582855262769339,0.3234654507190459,4691396519.0,0.9997544721150473,3387738.0
WMT,28.8367,125.97,1.4743949019049762,18.77,134.63,4.017796765926753,5.171500883557621e-05,0.0041936473921872705,0.0019644535312806225,0.3212556997544721,86251723694.0,0.9997544721150473,109303816.0
EPD,36.5699,35.88,-0.01904546048513987,10.38,37.18,0.7328431305527223,-6.680273758362254e-07,0.005918072481559991,0.0027800762605133165,0.33062083479480886,20496619594.0,0.9996843212907751,7748120.0
MA,86.33,510.07,1.7763708089543089,80.03,601.22,6.037182902814782,6.230693823056229e-05,0.0051419610539051065,0.002474370746434002,0.31764293230445456,13128892897.0,1.0,5188329.0
CVX,111.56,183.93,0.4999926876834181,53.2,189.12,1.2183578343492292,1.753744958551506e-05,0.005687232987617362,0.002700110731525062,0.319326552086987,30708722979.0,0.9997544721150473,14357045.0
COST,142.72,993.28,1.9401279292830451,131.82,1076.92,6.622057174887893,6.805078671632442e-05,0.004207536773528776,0.0021094631450135834,0.31669589617678007,8633954383.0,0.9997544721150473,9923019.0
MCO,95.86,464.01,1.5770173099866729,78.08,544.07,4.861151679532653,5.531453209350486e-05,0.005193361407949357,0.002521902180385679,0.3180287618379516,3462059812.0,0.9999298491757278,1749580.0
PNC,91.03,222.2,0.8923887546883321,77.5,243.27,1.8210480061518182,3.130090335628506e-05,0.005668014431586926,0.0027730671343831627,0.31880042090494565,8939355138.0,0.9999649245878639,4083588.0
A,40.98,125.04,1.1155495433024676,33.37,179.33,3.561737432894095,3.91283599895058e-05,0.0053701615899572576,0.002654665229133351,0.3226236408277797,7931385449.0,1.0,5401089.0
